tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
ACR000ETT14000007,Provision Of Event Management And Related Services For The Public Accountants Conference 2015. (There is a compulsory briefing on 13 Nov 14 at 10am at ACRA Boardroom. Only representatives who attended this compulsory briefing are eligible to participate in this tender).,Accounting And Corporate Regulatory Authority,6/2/2015,Awarded to No Suppliers,Unknown,0
ACR000ETT14000008,Invitation To Tender For The Provision Of Alternate Business Continuity Plan (BCP) Site For ACRA,Accounting And Corporate Regulatory Authority,30/4/2015,Awarded to No Suppliers,Unknown,0
ACR000ETT14000009,Invitation To Tender For The Provision Of Manpower Services (Facilities Officer) For ACRA,Accounting And Corporate Regulatory Authority,28/1/2015,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,76071.21
ACR000ETT15000004,Invitation To Tender For The Provision Of Manpower For Software Testing Services For ACRA,Accounting And Corporate Regulatory Authority,1/7/2015,Awarded to Suppliers,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,84000
ACR000ETT15000005,"Proposed Interior Fitting Out Works for ACRA's Office Space at 10 Anson Road, #05-19 & #05-01/15 (Part) International Plaza, Singapore 079903",Accounting And Corporate Regulatory Authority,24/4/2015,Awarded to Suppliers,MKS GLOBAL PTE. LTD.,653255
ACR000ETT15000006,Provision Of Smart Card Access Control System With Intrusion Detection System And Central Alarm Monitoring With Response Team For ACRA,Accounting And Corporate Regulatory Authority,26/6/2015,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,87690
ACR000ETT15000009,Invitation to tender for the provision of services for Registered Filing Agents (RFAs) Compliance Review Programme,Accounting And Corporate Regulatory Authority,14/8/2015,Awarded to Suppliers,RHT COMPLIANCE SOLUTIONS PTE. LTD.,392000
ACR000ETT15000010,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,Accounting And Corporate Regulatory Authority,30/7/2015,Awarded to Suppliers,CLEANMAGE PTE. LTD.,122400
ACR000ETT15000011,Invitation to Tender for the provision of consultancy services to review ACRA's business processes and service delivery.,Accounting And Corporate Regulatory Authority,23/11/2015,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.,320000
ACR000ETT15000013,Invitation to Tender (ITT) for the Provision of Consultancy Services to Assess the Feasibility of a Re-Domiciliation Regime in Singapore,Accounting And Corporate Regulatory Authority,19/2/2016,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,250000
ACR000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,1/6/2016,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,170000
ACR000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR REGISTERED FILING AGENTS (RFAs) COMPLIANCE REVIEW PROGRAMME,Accounting And Corporate Regulatory Authority,1/6/2016,Awarded to Suppliers,PricewaterhouseCoopers Management Services Pte Ltd,199000
ACR000ETT16000002,"INVITATION TO TENDER FOR SUPPLY, DESIGN, PRINTING, BULK MAILING & DELIVERY SERVICES FOR PRESSURE SEAL FORMS",Accounting And Corporate Regulatory Authority,14/9/2016,Awarded to Suppliers,JK TRUDATA SOLUTIONS PTE. LTD.,5967
ACR000ETT16000003,INVITATION TO TENDER FOR THE PROVISION OF REVIEW SERVICES ON EXTENSIBLE BUSINESS REPORTING LANGUAGE (XBRL) FINANCIAL STATEMENTS TO THE ACCOUNTING AND CORPORATE REGULATORY AUTHORITY,Accounting And Corporate Regulatory Authority,14/12/2016,Awarded to Suppliers,BDO CONSULTANTS PTE. LTD.,86400
AGC000ETT14000010,"Invitation To Tender for The Design, Develop, Install, Implement, Commission and Maintenance of the Enterprise Single Sign-On System",Attorney-General's Chambers,4/5/2015,Awarded to Suppliers,Ufinity Pte Ltd,300174
AGC000ETT14000011,"Invitation To Tender for The Supply, Delivery, Support of E-Discovery Software with an option for maintenance of software",Attorney-General's Chambers,28/1/2015,Awarded to Suppliers,NCS PTE. LTD.,243000
AGC000ETT14000012,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,Attorney-General's Chambers,9/3/2015,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD,1747000
AGC000ETT15000002,"Invitation To Tender for the Supply, Delivery, Support of Microsoft Licenses from Microsoft Government Licensing Programme (MGLP) for Attorney-General's Chambers (AGC) - MGLP SELECT PLUS Agreement Number 6255037",Attorney-General's Chambers,29/4/2015,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,181836.2
AGC000ETT15000003,Invitation To Tender for Minor Renovation Works at Level 14 for The Attorney-General's Chambers,Attorney-General's Chambers,2/6/2015,Awarded to Suppliers,NEEW PTE. LTD.,51918.5
AGC000ETT15000004,Invitation To Tender for Application Maintenance and Support for Enterprise Legal Management System (ELMS) for Attorney-General's Chambers,Attorney-General's Chambers,16/7/2015,Awarded to No Suppliers,Unknown,0
AGC000ETT15000005,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",Attorney-General's Chambers,14/9/2015,Awarded to Suppliers,TAIGER SPAIN S.L.,1050267.62
AGC000ETT15000006,"INVITATION TO TENDER FOR RENOVATION WORKS TO THE LITIGATION SUPPORT ROOMS AT LEVEL 9,10 AND 12 OF ATTORNEY-GENERAL'S CHAMBERS",Attorney-General's Chambers,5/8/2015,Awarded to Suppliers,NEEW PTE. LTD.,55400
AGC000ETT15000007,"The Government of the Republic of Singapore, acting through the Attorney-Generals Chambers, invites Tenderers to submit Tender Offers for the contract to provide services for the management and operation of the AGCs Chan Sek Keong Library. The contract shall be for a term of one year, from 1 April 2016 to 31 March 2017, with an option for the Government to extend the contract for another year at the end of each consecutive year until 31 March 2019.",Attorney-General's Chambers,4/11/2015,Awarded to Suppliers,CIVICA PTE. LTD.,919080
AGC000ETT15000008,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,Attorney-General's Chambers,26/11/2015,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,520000
AGC000ETT15000009,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,3/11/2015,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,996648
AGC000ETT15000014,"ITT for the supply, design, configuration, customisation, testing, installation and commissioning of a fully operational AGC Sentencing Repository with an option for maintenance",Attorney-General's Chambers,27/11/2015,Awarded to Suppliers,ZWAAN PTE. LTD.,331250
AGC000ETT15000015,"Supplier is to provide hardware devices (iOS and Andriod) including accessories (casing and screen protector), SIM card and services to package the accessories (paste screen protector, insert SIM card and put in casing) for delivery. In addition, the supplier is to provide mobile data lines for subscription.",Attorney-General's Chambers,22/1/2016,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,166403.8
AGC000ETT15000017,"Invitation To Tender (ITT) for the Supply, Design, Development, Delivery, Testing, Installation and Commissioning of a Fully Operational Singapore Statutes Online (""SSO"") with an Option for Maintenance",Attorney-General's Chambers,1/3/2016,Awarded to Suppliers,SMART-WARES PTE. LTD.,1573726
AGC000ETT15000018,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,22/12/2015,Awarded to No Suppliers,Unknown,0
AGC000ETT15000019,Invitation To Tender for the provision of offsite disaster Recovery facilities management and hosting services,Attorney-General's Chambers,21/4/2016,Awarded to Suppliers,NCS PTE. LTD.,232450.28
AGC000ETT15000020,"Invitation To Tender (ITT) for Supply, Delivery, Installation, Implementation and Maintenance of Asset Management System for AGC",Attorney-General's Chambers,6/4/2016,Awarded to Suppliers,RAPTECH PTE. LTD.,605489
AGC000ETT16000001,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND TESTING OF MOBILE WIFI ROUTER DEVICES AND MOBILE LINES WITH DATA PLAN SUBSCRIPTION",Attorney-General's Chambers,10/5/2016,Awarded to Suppliers,BTW Technology Pte Ltd,197064.3
AGC000ETT16000003,INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ENTERPRISE LEGAL MANAGEMENT SYSTEM (ELMS) FOR ATTORNEY-GENERAL'S CHAMBERS,Attorney-General's Chambers,27/4/2016,Awarded to Suppliers,NOVACITYNETS PTE LTD,2640325
AGC000ETT16000004,"ITT FOR THE PROVISION OF APPLICATION MAINTENANCE AND SUPPORT FOR THE SPYDUS LIBRARY SYSTEM FOR THE ATTORNEY-GENERALS CHAMBER, THE SUPREME COURT AND THE STATE COURTS",Attorney-General's Chambers,16/9/2016,Awarded to Suppliers,CIVICA PTE. LTD.,395374
AGC000ETT16000005,INVITATION TO TENDER FOR THE PROVISION OF OFFSITE STORAGE FOR THE ATTORNEY-GENERAL'S CHAMBERS FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR,Attorney-General's Chambers,15/9/2016,Awarded to No Suppliers,Unknown,0
AGC000ETT16000007,"To conduct security risk assessment, review existing security measures and develop security protection plan and security procedures for Attorney-General's Chambers.",Attorney-General's Chambers,29/9/2016,Awarded to Suppliers,JACOBS INTERNATIONAL CONSULTANTS PTE. LTD.,52400
AGC000ETT16000022,INVITATION TO TENDER FOR THE PROVISION OF TWO RUNS OF A 2-DAY WRITTEN ADVOCACY COURSE TO PARTICIPANTS FROM THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,1/12/2016,Awarded to Suppliers,ARMSTRONG TALENT DEVELOPMENT,74500
AGO000ETT15000001,"Minor Addition And Alteration, with Design Adaption Works to Auditor-General's Office",Auditor-General's Office,17/2/2015,Awarded to Suppliers,E.ID PROJECTS PTE. LTD.,72780
AVA000ETT14000028,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to carry out repair and redecoration (R&R)works at the Chicken Isolators Room",Agri-food and Veterinary Authority,7/1/2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,418000
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,BIO-REV PTE. LTD.,6209
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,FISHER SCIENTIFIC PTE LTD,192359
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,ITS Science & Medical Pte Ltd,600
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd,4160
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,Palico Biotech Pte Ltd,2760.45
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,SARTORIUS SINGAPORE PTE. LTD.,2020
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,SPD SCIENTIFIC PTE LTD,874
AVA000ETT14000030,Tender for a Two-Year Period Contract for the Supply and Delivery of Disposable Pipette Tips for Lab Use,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,TRADE 21 PTE. LTD.,2768.5
AVA000ETT14000031,Tender for the preventive maintenance and corrective maintenance of generators at Marine Aquaculture Centre,Agri-food and Veterinary Authority,21/1/2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,55450
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,6/3/2015,Awarded to Suppliers,BLUE OCEAN HARVEST PTE. LTD.,221140
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,6/3/2015,Awarded to Suppliers,GLOBEX GREEN LLP,309225
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,6/3/2015,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,364200
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,6/3/2015,Awarded to Suppliers,PHAEDRUS AQUATECH PTE. LTD.,258645
AVA000ETT14000032,Request for Proposal for the design and development of a closed containment Aquaculture System (CCAS) for Coastal Fish Farming,Agri-food and Veterinary Authority,6/3/2015,Awarded to Suppliers,SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE. LTD.,304400
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11/2/2015,Awarded to Suppliers,AIK MOH PAINTS & CHEMICALS PTE LTD,38826.4
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11/2/2015,Awarded to Suppliers,MERCK PTE. LTD.,224.8
AVA000ETT14000033,Tender for a Two-year period contract for the supply and delivery of acids for lab use,Agri-food and Veterinary Authority,11/2/2015,Awarded to Suppliers,TEE HAI CHEM PTE LTD,79790
AVA000ETT14000034,Tender for the laboratory renovation and facility/furniture supply for the radionuclides testing facility at the Veterinary Public Health Centre (VPHC) 10 Perahu Road Singapore 718837,Agri-food and Veterinary Authority,29/1/2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,588888
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,20173
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,Achema Pte Ltd,1860
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,IT TECHNOLOGIES PTE LTD,22736.3
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,OMEGA SCIENTIFIC PTE LTD,19635
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,Research Instruments Pte Ltd,3390
AVA000ETT14000036,Tender for the Supply and Delivery of Liquid Chromatography (LC) Columns for Laboratory Use,Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,WATERS PACIFIC PTE. LTD.,19738
AVA000ETT14000037,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One Unit of Alpha Spectrometer System for Lab Testing",Agri-food and Veterinary Authority,10/2/2015,Awarded to Suppliers,Analytical Technologies Pte Ltd,145000
AVA000ETT14000038,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of One unit of Liquid Scintillation Spectrometer",Agri-food and Veterinary Authority,8/4/2015,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd,120150
AVA000ETT14000040,"Tender for the Provision of Labour, Materials, Machinery, Equipment and other Logistics Arrangements to carry out Parts Replacement and Reinstatement of the Aquaculture Water System at Animal & Plant Health Centre (APHC), 6 Perahu Road, Singapore 718827",Agri-food and Veterinary Authority,7/5/2015,Awarded to Suppliers,SGP MANAGERS & ENGINEERS PTE. LTD.,78663.14
AVA000ETT14000041,"Tender for the Supply, Installation and Commissioning of One Unit of Nucleic Acid Extraction System",Agri-food and Veterinary Authority,10/7/2015,Awarded to Suppliers,SCIENCEWERKE PTE LTD,75000
AVA000ETT14000042,Tender for the supply and installation of Ultra-Filtration System at Marine Aquaculture Centre (MAC) on St John's Island,Agri-food and Veterinary Authority,14/5/2015,Awarded to Suppliers,CUTECH SOLUTIONS & SERVICES PTE. LTD.,104500
AVA000ETT14000043,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",Agri-food and Veterinary Authority,27/2/2015,Awarded to Suppliers,NDT INSTRUMENTS PTE LTD,44800
AVA000ETT14000043,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of Two (2) Units of Gamma Spectrometers",Agri-food and Veterinary Authority,27/2/2015,Awarded to Suppliers,SECOM (SINGAPORE) PTE LTD,187125
AVA000ETT14000044,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Inductively Coupled Plasma Mass Spectrometer (ICP-MS) & 1 unit of Inductively Coupled Plasma Optical Emission Spectrometer (ICP-OES)",Agri-food and Veterinary Authority,22/4/2015,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,704568.55
AVA000ETT14000045,"Tender for the Supply, Delivery, Installation and Commissioning Of Two Units (2) of Ultra High Performance Liquid Chromatograph- Triple Quadrupole Mass Spectrometer Systems (UHPLC/MS/MS)",Agri-food and Veterinary Authority,30/3/2015,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,883048.42
AVA000ETT14000046,"Tender for the supply of labour, materials, machinery, equipment and other logistics arrangements to re-construct, screed and apply epoxy coat to the floor of the Virology BSL3 Lab at Animal & Plant Health Centre",Agri-food and Veterinary Authority,8/5/2015,Awarded to Suppliers,AIR & AIR SERVICES PTE LTD,128888
AVA000ETT14000047,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of 1 unit of Gas Chromatograph-Triple Quadrupole Mass Spectrometer (GC-MS/MS) System",Agri-food and Veterinary Authority,16/4/2015,Awarded to Suppliers,ALPHA ANALYTICAL (S) PTE LTD,184100
AVA000ETT14000051,Tender for the venue and catering services for urban sustanability R&D congress 2015,Agri-food and Veterinary Authority,17/3/2015,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,240887.72
AVA000ETT14000052,"Tender for the supply, installation and commissioning of one (1) unit of Media Preparator",Agri-food and Veterinary Authority,24/8/2015,Awarded to Suppliers,QUINTECH LIFE SCIENCES PTE. LTD.,40535
AVA000ETT15000001,Tender for the Maintenance of Intelligent Food Approval and Safety Tracking System,Agri-food and Veterinary Authority,8/7/2015,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,1491900
AVA000ETT15000002,"Tender for the provision of multi-disciplinary team(Architectural, Civil & Structural, Mechanical & Electrical and Quantity Surveying) Consultancy Services for the development of New Animal Facility cum Education Centre",Agri-food and Veterinary Authority,14/5/2015,Awarded to Suppliers,MODE ARCHITECTS PRIVATE LIMITED,386000
AVA000ETT15000003,Rectification of building defects at Marine Aquaculture Centre,Agri-food and Veterinary Authority,24/4/2015,Awarded to Suppliers,UNITED SPECIALISTS PTE LTD,85000
AVA000ETT15000004,Tender for the provision of integrated facilities management services (IFM) at the Marine Aquaculture Centre (MAC),Agri-food and Veterinary Authority,21/5/2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,7731891
AVA000ETT15000005,Tender for the underwater maintenance works at AVA Fish Farm off St John's Island,Agri-food and Veterinary Authority,13/5/2015,Awarded to Suppliers,DATAWIN ENTERPRISES,119900
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28/8/2015,Awarded to Suppliers,B2K PET PRODUCTS PTE. LTD.,98648.12
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28/8/2015,Awarded to Suppliers,PETSPLAY,31404
AVA000ETT15000007,Tender for the two-year period contract for the supply of dog and cat food,Agri-food and Veterinary Authority,28/8/2015,Awarded to Suppliers,Wildlife & Veterinary Supplies,15312.57
AVA000ETT15000009,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,Agri-food and Veterinary Authority,31/5/2015,Awarded to No Suppliers,Unknown,0
AVA000ETT15000013,Tender for the Provision of Medical Services for AVA Officers,Agri-food and Veterinary Authority,9/7/2015,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,214894.97
AVA000ETT15000015,Tender for the supply and delivery of fish feeds,Agri-food and Veterinary Authority,14/8/2015,Awarded to No Suppliers,Unknown,0
AVA000ETT15000016,Tender for event management services for AVA's Public Education Programmes,Agri-food and Veterinary Authority,28/9/2015,Awarded to Suppliers,GEES MARKETING PTE. LTD.,1195000.05
AVA000ETT15000017,Tender for planimetric survey and cadastral survey works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,23/7/2015,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.,198988
AVA000ETT15000018,Tender for the provision of services for clearance and disposal of vegetation and trees at Sungei Tengah Agrotech Park,Agri-food and Veterinary Authority,6/8/2015,Awarded to Suppliers,KIAT LEE LANDSCAPE & BUILDING PTE LTD,326040
AVA000ETT15000020,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),Agri-food and Veterinary Authority,7/1/2016,Awarded to Suppliers,BIOMERIEUX SINGAPORE PTE. LTD.,21240
AVA000ETT15000020,Tender for the two-year period contract for the supply and delivery of pre-poured agar plates for Lab use at Agri-Food & Veterinary Authority No.6 Perahu Road (S718827) & 10 Perahu Road (S718837),Agri-food and Veterinary Authority,7/1/2016,Awarded to Suppliers,THERMO SCIENTIFIC MICROBIOLOGY PTE. LTD.,199306.2
AVA000ETT15000021,Tender for soil investigation works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,14/8/2015,Awarded to Suppliers,SOIL INVESTIGATION PTE. LIMITED,318800
AVA000ETT15000022,Tender for the supply and delivery of three (3) executive saloon cars,Agri-food and Veterinary Authority,29/10/2015,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD,309343.98
AVA000ETT15000023,Tender for the venue rental and banqueting services for Agri-Food & Veterinary Authority's Food Safety Awards Night 2015,Agri-food and Veterinary Authority,13/7/2015,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,88033
AVA000ETT15000026,Tender for the Provision of corrective maintenance spares for diesel generator sets (Cummins KTA38-G5) at Marine Aquaculture Centre,Agri-food and Veterinary Authority,19/8/2015,Awarded to Suppliers,CA FACILITIES PTE. LTD.,37476.17
AVA000ETT15000027,"Tender for the Provision of bus transportation services for Agri-Bio Park, Lim Chu Kang",Agri-food and Veterinary Authority,20/8/2015,Awarded to Suppliers,BRICKSTON TRANSPORT SERVICE,134400
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25/9/2015,Awarded to Suppliers,HONG HENG FISHERY PTE. LTD.,3000
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25/9/2015,Awarded to Suppliers,METROPOLITAN FISHERY GROUP PTE. LTD.,1450
AVA000ETT15000029,"Tender for the Letting of Market Lot No. 49, 50, 51, 80 & 82 and Ice Crusher Stall No. 1 and 5 at Jurong Fishery Port for a term of three years",Agri-food and Veterinary Authority,25/9/2015,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,9000
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,KIM SUM FISH AGENT,905
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,LIE MENG FISH MERCHANT,1500
AVA000ETT15000031,"Tender for the Letting of Market Lot No. 28 & 29, Ice Crusher Shop #01-01 and Shop Unit #01-06 at Senoko Fishery Port for a term of three years",Agri-food and Veterinary Authority,22/9/2015,Awarded to Suppliers,UNI-TAT ICE & MARKETING PTE LTD,3888
AVA000ETT15000034,"Provision of multi-disciplinary (civil & structural, architectural, mechanical & electrical and quantity surveying) consultancy services for site preparation and infrastructure works at Lim Chu Kang and Sungei Tengah",Agri-food and Veterinary Authority,27/1/2016,Awarded to No Suppliers,Unknown,0
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,11325
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,LEEDEN NATIONAL OXYGEN LTD.,83848.5
AVA000ETT15000037,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GASES FOR LAB USE AT AGRI- FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,20/4/2016,Awarded to Suppliers,VERSUM MATERIALS SINGAPORE PTE. LTD.,74969.5
AVA000ETT15000038,Tender for the Site clearance works at Lim Chu Kang and Sungei Tengah,Agri-food and Veterinary Authority,2/2/2016,Awarded to No Suppliers,Unknown,0
AVA000ETT15000039,TENDER FOR THE TWO-YEAR COMPREHENSIVE MAINTENANCE AND REPAIR SERVICES FOR 16 UNITS OF AGILENT BRAND GAS AND LIQUID CHROMATOGRAPHY SYSTEMS AT AGRI-FOOD & VETERINARY AUTHORITY NO. 10 PERAHU ROAD (718837),Agri-food and Veterinary Authority,24/12/2015,Awarded to Suppliers,Agilent Technologies Singapore (Sales) Pte Ltd,107688
AVA000ETT15000040,Tender for Contact Centre Services,Agri-food and Veterinary Authority,27/11/2015,Awarded to Suppliers,TELEMARKETING ASIA (SINGAPORE) PTE LTD,1567142.43
AVA000ETT15000041,TENDER FOR THE THREE-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF LIQUID NITROGEN FOR LAB USE AT AGRI-FOOD & VETERINARY AUTHORITY NO. 6 & 10 PERAHU ROAD (718827 & 718837),Agri-food and Veterinary Authority,10/2/2016,Awarded to Suppliers,AIR LIQUIDE SINGAPORE PRIVATE LIMITED,165450
